person,school,ps
"[""person132"", ""person132""]","[3, 10]","[0.84, 0.16]"
"[""person133""]",[15],[1.0]
"[""person134""]",[15],[1.0]
"[""person135""]",[15],[1.0]
"[""person136""]",[11],[1.0]
"[""person137"", ""person137""]","[12, 15]","[0.954, 0.046]"
"[""person138""]",[10],[1.0]
"[""person139""]",[14],[1.0]
"[""person140""]",[10],[1.0]
"[""person141""]",[11],[1.0]
"[""person142"", ""person142""]","[10, 13]","[0.932, 0.068]"
"[""person143"", ""person143""]","[2, 8]","[0.196, 0.804]"
"[""person144""]",[2],[1.0]
"[""person145"", ""person145""]","[1, 15]","[0.618, 0.382]"
"[""person146""]",[15],[1.0]
"[""person147""]",[9],[1.0]
"[""person148""]",[14],[1.0]
"[""person149"", ""person149""]","[9, 12]","[0.998, 0.002]"
"[""person150""]",[15],[1.0]
"[""person151""]",[15],[1.0]
"[""person152""]",[10],[1.0]
"[""person153""]",[4],[1.0]
"[""person154""]",[14],[1.0]
"[""person155""]",[14],[1.0]
"[""person156""]",[10],[1.0]
"[""person157""]",[10],[1.0]
"[""person158""]",[10],[1.0]
"[""person159""]",[5],[1.0]
"[""person160""]",[9],[1.0]
"[""person161""]",[10],[1.0]
"[""person162""]",[9],[1.0]
"[""person163""]",[15],[1.0]
"[""person164"", ""person164""]","[11, 16]","[0.614, 0.386]"
"[""person165""]",[14],[1.0]
"[""person166""]",[9],[1.0]
"[""person167""]",[11],[1.0]
"[""person168""]",[9],[1.0]
"[""person169"", ""person169""]","[9, 13]","[0.942, 0.058]"
"[""person170""]",[9],[1.0]
"[""person171""]",[9],[1.0]
"[""person172"", ""person172""]","[3, 4]","[0.866, 0.134]"
"[""person173"", ""person173""]","[12, 14]","[0.952, 0.048]"
"[""person174"", ""person174""]","[11, 12]","[0.056, 0.944]"
"[""person175""]",[15],[1.0]
"[""person176"", ""person176"", ""person176"", ""person176"", ""person176"", ""person176"", ""person176""]","[6, 7, 9, 10, 11, 14, 15]","[0.194, 0.088, 0.13, 0.138, 0.142, 0.16, 0.148]"
"[""person177""]",[9],[1.0]
"[""person178""]",[14],[1.0]
"[""person179""]",[14],[1.0]
"[""person180""]",[5],[1.0]
"[""person181"", ""person181"", ""person181"", ""person181"", ""person181"", ""person181""]","[9, 10, 11, 12, 14, 15]","[0.008, 0.014, 0.004, 0.952, 0.014, 0.008]"
"[""person182""]",[10],[1.0]
"[""person183""]",[11],[1.0]
"[""person184"", ""person184"", ""person184"", ""person184"", ""person184""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person185""]",[11],[1.0]
"[""person186""]",[9],[1.0]
"[""person187""]",[10],[1.0]
"[""person188""]",[10],[1.0]
"[""person189"", ""person189""]","[8, 11]","[0.132, 0.868]"
"[""person190""]",[9],[1.0]
"[""person191""]",[7],[1.0]
"[""person192"", ""person192""]","[2, 7]","[0.224, 0.776]"
"[""person193""]",[11],[1.0]
"[""person194""]",[13],[1.0]
"[""person195""]",[14],[1.0]
"[""person196""]",[9],[1.0]
"[""person197""]",[9],[1.0]
"[""person198""]",[13],[1.0]
"[""person199"", ""person199"", ""person199""]","[5, 12, 15]","[0.216, 0.712, 0.072]"
"[""person200""]",[10],[1.0]
"[""person201"", ""person201""]","[1, 11]","[0.66, 0.34]"
"[""person202"", ""person202"", ""person202"", ""person202"", ""person202""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person203""]",[10],[1.0]
"[""person204""]",[4],[1.0]
"[""person205""]",[9],[1.0]
"[""person206""]",[14],[1.0]
"[""person207""]",[9],[1.0]
"[""person208""]",[10],[1.0]
"[""person209"", ""person209""]","[11, 13]","[0.914, 0.086]"
"[""person210"", ""person210""]","[1, 14]","[0.628, 0.372]"
"[""person211""]",[15],[1.0]
"[""person212""]",[2],[1.0]
"[""person213""]",[14],[1.0]
"[""person214"", ""person214""]","[4, 9]","[0.184, 0.816]"
"[""person215"", ""person215""]","[6, 10]","[0.224, 0.776]"
"[""person216""]",[9],[1.0]
"[""person217""]",[14],[1.0]
"[""person218""]",[11],[1.0]
"[""person219""]",[10],[1.0]
"[""person220""]",[1],[1.0]
"[""person221""]",[15],[1.0]
"[""person222"", ""person222""]","[3, 14]","[0.832, 0.168]"
"[""person223""]",[13],[1.0]
"[""person224""]",[16],[1.0]
"[""person225""]",[15],[1.0]
"[""person226""]",[11],[1.0]
"[""person227""]",[9],[1.0]
"[""person228"", ""person228"", ""person228"", ""person228"", ""person228"", ""person228"", ""person228""]","[9, 10, 11, 13, 14, 15, 16]","[0.13, 0.108, 0.136, 0.002, 0.15, 0.124, 0.35]"
"[""person229""]",[16],[1.0]
"[""person230""]",[2],[1.0]
"[""person231""]",[14],[1.0]
"[""person232""]",[10],[1.0]
"[""person233""]",[7],[1.0]
"[""person234""]",[7],[1.0]
"[""person235""]",[14],[1.0]
"[""person236""]",[11],[1.0]
"[""person237""]",[11],[1.0]
"[""person238""]",[8],[1.0]
"[""person239""]",[4],[1.0]
"[""person240""]",[9],[1.0]
"[""person241""]",[9],[1.0]
"[""person242""]",[10],[1.0]
"[""person243""]",[15],[1.0]
"[""person244""]",[4],[1.0]
"[""person245""]",[9],[1.0]
"[""person246"", ""person246"", ""person246""]","[3, 9, 12]","[0.844, 0.074, 0.082]"
"[""person247"", ""person247""]","[7, 15]","[0.102, 0.898]"
"[""person248""]",[9],[1.0]
"[""person249""]",[14],[1.0]
"[""person250"", ""person250""]","[4, 6]","[0.216, 0.784]"
"[""person251"", ""person251""]","[6, 14]","[0.24, 0.76]"
"[""person252""]",[14],[1.0]
"[""person253""]",[9],[1.0]
"[""person254""]",[2],[1.0]
"[""person255"", ""person255""]","[7, 9]","[0.136, 0.864]"
"[""person256"", ""person256""]","[1, 3]","[0.146, 0.854]"
"[""person257""]",[10],[1.0]
"[""person258""]",[10],[1.0]
"[""person259""]",[10],[1.0]
"[""person260""]",[10],[1.0]
"[""person261""]",[9],[1.0]
"[""person262""]",[9],[1.0]
"[""person263""]",[14],[1.0]
"[""person264""]",[9],[1.0]
"[""person265""]",[11],[1.0]
"[""person266"", ""person266""]","[10, 13]","[0.9, 0.1]"
"[""person267"", ""person267""]","[1, 3]","[0.162, 0.838]"
"[""person268""]",[5],[1.0]
"[""person269""]",[6],[1.0]
"[""person270""]",[8],[1.0]
"[""person271""]",[16],[1.0]
"[""person272""]",[11],[1.0]
"[""person273"", ""person273""]","[11, 16]","[0.614, 0.386]"
"[""person274""]",[4],[1.0]
"[""person275""]",[14],[1.0]
"[""person276""]",[6],[1.0]
"[""person277""]",[7],[1.0]
"[""person278""]",[11],[1.0]
"[""person279""]",[10],[1.0]
"[""person280"", ""person280""]","[9, 12]","[0.06, 0.94]"
"[""person281"", ""person281"", ""person281"", ""person281"", ""person281"", ""person281""]","[5, 9, 10, 11, 14, 15]","[0.162, 0.16, 0.156, 0.174, 0.19, 0.158]"
"[""person282""]",[10],[1.0]
"[""person283"", ""person283""]","[6, 10]","[0.248, 0.752]"
"[""person284""]",[10],[1.0]
"[""person285""]",[9],[1.0]
"[""person286"", ""person286"", ""person286"", ""person286"", ""person286"", ""person286"", ""person286""]","[4, 9, 10, 11, 14, 15, 16]","[0.01, 0.108, 0.122, 0.114, 0.152, 0.114, 0.38]"
"[""person287"", ""person287""]","[9, 16]","[0.64, 0.36]"
"[""person288"", ""person288""]","[1, 8]","[0.66, 0.34]"
"[""person289""]",[13],[1.0]
"[""person290"", ""person290""]","[2, 15]","[0.22, 0.78]"
"[""person291""]",[15],[1.0]
"[""person292"", ""person292""]","[10, 12]","[0.036, 0.964]"
"[""person293""]",[6],[1.0]
"[""person294""]",[9],[1.0]
"[""person295""]",[15],[1.0]
"[""person296""]",[10],[1.0]
"[""person297"", ""person297""]","[3, 10]","[0.83, 0.17]"
"[""person298""]",[11],[1.0]
"[""person299""]",[14],[1.0]
"[""person300""]",[5],[1.0]
"[""person301"", ""person301""]","[2, 10]","[0.236, 0.764]"
"[""person302""]",[5],[1.0]
"[""person303""]",[13],[1.0]
"[""person304""]",[15],[1.0]
"[""person305""]",[10],[1.0]
"[""person306""]",[6],[1.0]
"[""person307""]",[14],[1.0]
"[""person308""]",[9],[1.0]
"[""person309""]",[11],[1.0]
"[""person310""]",[14],[1.0]
"[""person311""]",[11],[1.0]
"[""person312""]",[4],[1.0]
"[""person313""]",[10],[1.0]
"[""person314"", ""person314""]","[2, 10]","[0.202, 0.798]"
"[""person315"", ""person315"", ""person315"", ""person315"", ""person315"", ""person315""]","[9, 10, 11, 12, 14, 15]","[0.004, 0.01, 0.014, 0.944, 0.016, 0.012]"
"[""person316""]",[15],[1.0]
"[""person317"", ""person317""]","[5, 9]","[0.208, 0.792]"
"[""person318""]",[7],[1.0]
"[""person319""]",[4],[1.0]
"[""person320""]",[14],[1.0]
"[""person321""]",[10],[1.0]
"[""person322""]",[14],[1.0]
"[""person323"", ""person323""]","[2, 14]","[0.214, 0.786]"
"[""person324""]",[14],[1.0]
"[""person325""]",[1],[1.0]
"[""person326""]",[9],[1.0]
"[""person327""]",[7],[1.0]
"[""person328""]",[14],[1.0]
"[""person329""]",[6],[1.0]
"[""person330""]",[9],[1.0]
"[""person331""]",[10],[1.0]
"[""person332""]",[11],[1.0]
"[""person333""]",[9],[1.0]
"[""person334""]",[2],[1.0]
"[""person335""]",[10],[1.0]
"[""person336"", ""person336""]","[8, 12]","[0.06, 0.94]"
"[""person337""]",[11],[1.0]
"[""person338""]",[14],[1.0]
"[""person339""]",[15],[1.0]
"[""person340"", ""person340""]","[2, 10]","[0.212, 0.788]"
"[""person341""]",[11],[1.0]
"[""person342"", ""person342""]","[14, 16]","[0.63, 0.37]"
"[""person343"", ""person343""]","[1, 3]","[0.178, 0.822]"
"[""person344""]",[10],[1.0]
"[""person345""]",[9],[1.0]
"[""person346""]",[11],[1.0]
"[""person347""]",[7],[1.0]
"[""person348""]",[11],[1.0]
"[""person349""]",[13],[1.0]
"[""person350""]",[9],[1.0]
"[""person351""]",[1],[1.0]
"[""person352""]",[14],[1.0]
"[""person353"", ""person353"", ""person353"", ""person353"", ""person353"", ""person353""]","[7, 9, 10, 11, 14, 15]","[0.114, 0.17, 0.162, 0.194, 0.184, 0.176]"
"[""person354""]",[9],[1.0]
"[""person355"", ""person355""]","[5, 13]","[0.916, 0.084]"
"[""person356""]",[9],[1.0]
"[""person357""]",[15],[1.0]
"[""person358""]",[7],[1.0]
"[""person359""]",[10],[1.0]
"[""person360""]",[9],[1.0]
"[""person361""]",[10],[1.0]
"[""person362""]",[14],[1.0]
"[""person363""]",[9],[1.0]
"[""person364""]",[8],[1.0]
"[""person365""]",[10],[1.0]
"[""person366"", ""person366"", ""person366"", ""person366"", ""person366"", ""person366"", ""person366"", ""person366""]","[1, 4, 9, 10, 11, 14, 15, 16]","[0.244, 0.01, 0.092, 0.08, 0.064, 0.08, 0.082, 0.348]"
"[""person367""]",[4],[1.0]
"[""person368""]",[15],[1.0]
"[""person369""]",[13],[1.0]
"[""person370""]",[11],[1.0]
"[""person371""]",[9],[1.0]
