person,school,ps
"[""person572""]",[9],[1.0]
"[""person573""]",[15],[1.0]
"[""person574""]",[15],[1.0]
"[""person575""]",[14],[1.0]
"[""person576"", ""person576""]","[3, 14]","[0.872, 0.128]"
"[""person577""]",[2],[1.0]
"[""person578""]",[5],[1.0]
"[""person579""]",[9],[1.0]
"[""person580""]",[14],[1.0]
"[""person581""]",[11],[1.0]
"[""person582"", ""person582""]","[5, 13]","[0.922, 0.078]"
"[""person583""]",[8],[1.0]
"[""person584""]",[9],[1.0]
"[""person585"", ""person585"", ""person585"", ""person585"", ""person585""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person586""]",[9],[1.0]
"[""person587""]",[11],[1.0]
"[""person588"", ""person588"", ""person588"", ""person588"", ""person588""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person589""]",[10],[1.0]
"[""person590""]",[10],[1.0]
"[""person591""]",[10],[1.0]
"[""person592""]",[6],[1.0]
"[""person593"", ""person593""]","[6, 10]","[0.268, 0.732]"
"[""person594""]",[14],[1.0]
"[""person595""]",[14],[1.0]
"[""person596""]",[11],[1.0]
"[""person597""]",[8],[1.0]
"[""person598""]",[14],[1.0]
"[""person599""]",[14],[1.0]
"[""person600""]",[9],[1.0]
"[""person601""]",[7],[1.0]
"[""person602""]",[14],[1.0]
"[""person603""]",[15],[1.0]
"[""person604"", ""person604"", ""person604"", ""person604"", ""person604"", ""person604""]","[7, 9, 10, 11, 14, 15]","[0.128, 0.172, 0.162, 0.176, 0.19, 0.172]"
"[""person605""]",[10],[1.0]
"[""person606"", ""person606""]","[9, 13]","[0.916, 0.084]"
"[""person607""]",[11],[1.0]
"[""person608""]",[14],[1.0]
"[""person609""]",[15],[1.0]
"[""person610"", ""person610""]","[9, 12]","[0.078, 0.922]"
"[""person611"", ""person611"", ""person611"", ""person611"", ""person611"", ""person611""]","[1, 9, 10, 11, 14, 15]","[0.624, 0.07, 0.074, 0.074, 0.09, 0.068]"
"[""person612""]",[10],[1.0]
"[""person613""]",[9],[1.0]
"[""person614""]",[11],[1.0]
"[""person615""]",[10],[1.0]
"[""person616""]",[13],[1.0]
"[""person617"", ""person617""]","[4, 5]","[0.202, 0.798]"
"[""person618""]",[9],[1.0]
"[""person619""]",[11],[1.0]
"[""person620""]",[15],[1.0]
"[""person621""]",[15],[1.0]
"[""person622"", ""person622""]","[4, 9]","[0.21, 0.79]"
"[""person623""]",[10],[1.0]
"[""person624"", ""person624""]","[8, 10]","[0.124, 0.876]"
"[""person625""]",[14],[1.0]
"[""person626"", ""person626"", ""person626""]","[2, 13, 14]","[0.198, 0.008, 0.794]"
"[""person627""]",[9],[1.0]
"[""person628""]",[10],[1.0]
"[""person629"", ""person629""]","[5, 14]","[0.212, 0.788]"
"[""person630""]",[10],[1.0]
"[""person631""]",[14],[1.0]
"[""person632""]",[9],[1.0]
"[""person633""]",[15],[1.0]
"[""person634""]",[15],[1.0]
"[""person635""]",[7],[1.0]
"[""person636""]",[11],[1.0]
"[""person637"", ""person637"", ""person637""]","[8, 9, 13]","[0.15, 0.842, 0.008]"
"[""person638""]",[10],[1.0]
"[""person639""]",[13],[1.0]
"[""person640"", ""person640""]","[6, 7]","[0.88, 0.12]"
"[""person641""]",[6],[1.0]
"[""person642""]",[9],[1.0]
"[""person643"", ""person643""]","[7, 14]","[0.118, 0.882]"
"[""person644""]",[6],[1.0]
"[""person645""]",[5],[1.0]
"[""person646""]",[8],[1.0]
"[""person647""]",[14],[1.0]
"[""person648""]",[9],[1.0]
"[""person649""]",[4],[1.0]
"[""person650""]",[11],[1.0]
"[""person651""]",[11],[1.0]
"[""person652"", ""person652""]","[2, 14]","[0.228, 0.772]"
"[""person653""]",[15],[1.0]
"[""person654"", ""person654""]","[4, 15]","[0.236, 0.764]"
"[""person655"", ""person655""]","[8, 9]","[0.124, 0.876]"
"[""person656""]",[11],[1.0]
"[""person657"", ""person657""]","[2, 14]","[0.24, 0.76]"
"[""person658"", ""person658""]","[6, 12]","[0.048, 0.952]"
"[""person659"", ""person659""]","[3, 11]","[0.852, 0.148]"
"[""person660""]",[14],[1.0]
"[""person661""]",[10],[1.0]
"[""person662""]",[10],[1.0]
"[""person663""]",[11],[1.0]
"[""person664""]",[11],[1.0]
"[""person665""]",[10],[1.0]
"[""person666""]",[11],[1.0]
"[""person667""]",[2],[1.0]
"[""person668"", ""person668"", ""person668"", ""person668"", ""person668""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person669""]",[14],[1.0]
"[""person670"", ""person670"", ""person670""]","[4, 5, 15]","[0.064, 0.216, 0.72]"
"[""person671""]",[9],[1.0]
"[""person672""]",[11],[1.0]
"[""person673""]",[15],[1.0]
"[""person674""]",[7],[1.0]
"[""person675""]",[15],[1.0]
"[""person676""]",[11],[1.0]
"[""person677""]",[14],[1.0]
"[""person678""]",[15],[1.0]
"[""person679""]",[14],[1.0]
"[""person680""]",[16],[1.0]
"[""person681""]",[8],[1.0]
"[""person682""]",[14],[1.0]
"[""person683"", ""person683""]","[10, 16]","[0.636, 0.364]"
"[""person684""]",[4],[1.0]
"[""person685""]",[15],[1.0]
"[""person686""]",[10],[1.0]
"[""person687""]",[8],[1.0]
"[""person688""]",[14],[1.0]
"[""person689""]",[11],[1.0]
"[""person690"", ""person690""]","[13, 14]","[0.104, 0.896]"
"[""person691""]",[8],[1.0]
"[""person692""]",[15],[1.0]
"[""person693"", ""person693""]","[4, 14]","[0.204, 0.796]"
"[""person694"", ""person694"", ""person694"", ""person694"", ""person694"", ""person694"", ""person694""]","[2, 3, 9, 10, 11, 14, 15]","[0.246, 0.6, 0.02, 0.03, 0.024, 0.046, 0.034]"
"[""person695""]",[14],[1.0]
"[""person696"", ""person696"", ""person696"", ""person696"", ""person696""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person697"", ""person697"", ""person697""]","[2, 11, 16]","[0.008, 0.602, 0.39]"
"[""person698""]",[15],[1.0]
"[""person699""]",[9],[1.0]
"[""person700""]",[10],[1.0]
"[""person701""]",[9],[1.0]
"[""person702""]",[15],[1.0]
"[""person703"", ""person703""]","[8, 16]","[0.152, 0.848]"
"[""person704""]",[14],[1.0]
"[""person705"", ""person705""]","[1, 10]","[0.656, 0.344]"
"[""person706""]",[15],[1.0]
"[""person707""]",[14],[1.0]
"[""person708"", ""person708""]","[6, 14]","[0.268, 0.732]"
"[""person709""]",[10],[1.0]
"[""person710"", ""person710""]","[6, 11]","[0.29, 0.71]"
"[""person711"", ""person711"", ""person711"", ""person711"", ""person711""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person712""]",[10],[1.0]
"[""person713""]",[10],[1.0]
"[""person714""]",[9],[1.0]
"[""person715"", ""person715""]","[7, 12]","[0.998, 0.002]"
"[""person716""]",[10],[1.0]
"[""person717"", ""person717"", ""person717"", ""person717"", ""person717"", ""person717""]","[3, 9, 10, 11, 14, 15]","[0.846, 0.032, 0.036, 0.026, 0.04, 0.02]"
"[""person718""]",[2],[1.0]
"[""person719""]",[10],[1.0]
"[""person720"", ""person720""]","[10, 12]","[0.048, 0.952]"
"[""person721""]",[4],[1.0]
"[""person722""]",[8],[1.0]
"[""person723""]",[15],[1.0]
"[""person724"", ""person724""]","[11, 12]","[0.044, 0.956]"
"[""person725""]",[14],[1.0]
"[""person726""]",[8],[1.0]
"[""person727""]",[14],[1.0]
"[""person728""]",[9],[1.0]
"[""person729""]",[15],[1.0]
"[""person730""]",[10],[1.0]
"[""person731""]",[15],[1.0]
"[""person732""]",[15],[1.0]
"[""person733""]",[9],[1.0]
"[""person734""]",[15],[1.0]
"[""person735"", ""person735"", ""person735"", ""person735"", ""person735""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person736"", ""person736"", ""person736"", ""person736"", ""person736"", ""person736""]","[5, 9, 10, 11, 14, 15]","[0.208, 0.138, 0.152, 0.16, 0.186, 0.156]"
"[""person737"", ""person737"", ""person737"", ""person737"", ""person737"", ""person737""]","[2, 9, 10, 11, 14, 15]","[0.192, 0.144, 0.158, 0.164, 0.182, 0.16]"
"[""person738""]",[10],[1.0]
"[""person739""]",[15],[1.0]
"[""person740""]",[11],[1.0]
"[""person741""]",[11],[1.0]
"[""person742""]",[15],[1.0]
"[""person743""]",[15],[1.0]
"[""person744""]",[14],[1.0]
"[""person745""]",[11],[1.0]
"[""person746""]",[8],[1.0]
"[""person747""]",[10],[1.0]
"[""person748"", ""person748""]","[2, 15]","[0.198, 0.802]"
"[""person749""]",[10],[1.0]
"[""person750""]",[9],[1.0]
"[""person751""]",[9],[1.0]
"[""person752"", ""person752""]","[2, 12]","[0.056, 0.944]"
"[""person753"", ""person753"", ""person753"", ""person753"", ""person753"", ""person753""]","[7, 9, 10, 11, 14, 15]","[0.126, 0.168, 0.164, 0.178, 0.2, 0.164]"
"[""person754""]",[10],[1.0]
"[""person755""]",[10],[1.0]
"[""person756"", ""person756""]","[13, 15]","[0.084, 0.916]"
"[""person757""]",[15],[1.0]
"[""person758"", ""person758""]","[3, 8]","[0.82, 0.18]"
"[""person759"", ""person759"", ""person759""]","[6, 9, 12]","[0.272, 0.052, 0.676]"
"[""person760""]",[13],[1.0]
"[""person761""]",[11],[1.0]
"[""person762""]",[9],[1.0]
"[""person763""]",[10],[1.0]
"[""person764""]",[10],[1.0]
"[""person765""]",[15],[1.0]
"[""person766"", ""person766""]","[1, 10]","[0.696, 0.304]"
"[""person767"", ""person767"", ""person767""]","[4, 8, 9]","[0.186, 0.024, 0.79]"
"[""person768""]",[11],[1.0]
"[""person769""]",[11],[1.0]
"[""person770"", ""person770"", ""person770"", ""person770"", ""person770"", ""person770"", ""person770""]","[4, 9, 10, 11, 14, 15, 16]","[0.212, 0.126, 0.128, 0.124, 0.138, 0.118, 0.154]"
"[""person771""]",[10],[1.0]
"[""person772"", ""person772"", ""person772""]","[5, 7, 14]","[0.216, 0.018, 0.766]"
"[""person773""]",[15],[1.0]
"[""person774"", ""person774"", ""person774""]","[3, 6, 10]","[0.598, 0.264, 0.138]"
"[""person775""]",[15],[1.0]
"[""person776""]",[11],[1.0]
"[""person777""]",[10],[1.0]
"[""person778""]",[9],[1.0]
"[""person779"", ""person779""]","[5, 16]","[0.622, 0.378]"
"[""person780""]",[10],[1.0]
"[""person781"", ""person781""]","[3, 9]","[0.86, 0.14]"
"[""person782""]",[14],[1.0]
"[""person783""]",[14],[1.0]
"[""person784""]",[10],[1.0]
"[""person785""]",[16],[1.0]
"[""person786""]",[11],[1.0]
"[""person787""]",[9],[1.0]
"[""person788"", ""person788""]","[3, 9]","[0.852, 0.148]"
"[""person789""]",[5],[1.0]
"[""person790"", ""person790"", ""person790"", ""person790"", ""person790"", ""person790""]","[9, 10, 11, 14, 15, 16]","[0.126, 0.106, 0.122, 0.144, 0.122, 0.38]"
"[""person791""]",[10],[1.0]
"[""person792""]",[14],[1.0]
"[""person793""]",[9],[1.0]
"[""person794""]",[10],[1.0]
"[""person795""]",[13],[1.0]
"[""person796""]",[14],[1.0]
"[""person797""]",[14],[1.0]
"[""person798""]",[8],[1.0]
"[""person799"", ""person799""]","[12, 14]","[0.002, 0.998]"
"[""person800""]",[10],[1.0]
"[""person801""]",[9],[1.0]
"[""person802""]",[8],[1.0]
"[""person803""]",[14],[1.0]
"[""person804""]",[9],[1.0]
"[""person805"", ""person805""]","[11, 12]","[0.06, 0.94]"
"[""person806"", ""person806"", ""person806"", ""person806"", ""person806"", ""person806"", ""person806""]","[3, 9, 10, 11, 13, 14, 15]","[0.724, 0.034, 0.028, 0.044, 0.104, 0.038, 0.028]"
"[""person807""]",[9],[1.0]
"[""person808""]",[14],[1.0]
"[""person809""]",[9],[1.0]
"[""person810""]",[2],[1.0]
"[""person811""]",[14],[1.0]
"[""person812""]",[9],[1.0]
"[""person813""]",[1],[1.0]
"[""person814""]",[14],[1.0]
"[""person815""]",[11],[1.0]
"[""person816""]",[11],[1.0]
"[""person817""]",[15],[1.0]
"[""person818""]",[10],[1.0]
"[""person819""]",[10],[1.0]
"[""person820"", ""person820""]","[9, 12]","[0.042, 0.958]"
"[""person821""]",[15],[1.0]
"[""person822""]",[9],[1.0]
"[""person823""]",[9],[1.0]
"[""person824""]",[8],[1.0]
"[""person825"", ""person825"", ""person825"", ""person825"", ""person825"", ""person825""]","[3, 9, 10, 11, 14, 15]","[0.834, 0.028, 0.034, 0.028, 0.038, 0.038]"
"[""person826""]",[10],[1.0]
"[""person827""]",[5],[1.0]
"[""person828""]",[4],[1.0]
"[""person829""]",[15],[1.0]
"[""person830""]",[10],[1.0]
"[""person831""]",[11],[1.0]
"[""person832"", ""person832""]","[3, 16]","[0.86, 0.14]"
"[""person833""]",[10],[1.0]
"[""person834"", ""person834"", ""person834""]","[4, 14, 16]","[0.206, 0.626, 0.168]"
"[""person835""]",[14],[1.0]
"[""person836""]",[9],[1.0]
"[""person837""]",[9],[1.0]
"[""person838""]",[9],[1.0]
"[""person839""]",[11],[1.0]
"[""person840""]",[15],[1.0]
"[""person841""]",[10],[1.0]
"[""person842""]",[9],[1.0]
"[""person843""]",[15],[1.0]
"[""person844""]",[14],[1.0]
"[""person845""]",[10],[1.0]
"[""person846"", ""person846"", ""person846"", ""person846"", ""person846"", ""person846""]","[4, 9, 10, 11, 14, 15]","[0.202, 0.154, 0.156, 0.172, 0.152, 0.164]"
"[""person847""]",[15],[1.0]
"[""person848""]",[6],[1.0]
"[""person849"", ""person849""]","[8, 13]","[0.162, 0.838]"
"[""person850""]",[14],[1.0]
"[""person851""]",[9],[1.0]
"[""person852"", ""person852""]","[11, 12]","[0.036, 0.964]"
"[""person853""]",[10],[1.0]
"[""person854""]",[9],[1.0]
"[""person855""]",[15],[1.0]
"[""person856""]",[10],[1.0]
"[""person857"", ""person857""]","[5, 16]","[0.59, 0.41]"
"[""person858""]",[13],[1.0]
"[""person859""]",[15],[1.0]
"[""person860""]",[10],[1.0]
"[""person861""]",[1],[1.0]
"[""person862""]",[11],[1.0]
"[""person863"", ""person863""]","[1, 9]","[0.66, 0.34]"
"[""person864"", ""person864""]","[1, 11]","[0.654, 0.346]"
"[""person865""]",[9],[1.0]
"[""person866"", ""person866"", ""person866""]","[6, 10, 12]","[0.248, 0.05, 0.702]"
"[""person867""]",[15],[1.0]
"[""person868""]",[16],[1.0]
"[""person869""]",[1],[1.0]
"[""person870""]",[9],[1.0]
"[""person871""]",[14],[1.0]
"[""person872""]",[14],[1.0]
"[""person873"", ""person873""]","[6, 11]","[0.266, 0.734]"
"[""person874"", ""person874"", ""person874"", ""person874"", ""person874""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person875"", ""person875""]","[1, 9]","[0.654, 0.346]"
"[""person876""]",[6],[1.0]
"[""person877""]",[10],[1.0]
"[""person878""]",[7],[1.0]
"[""person879""]",[7],[1.0]
"[""person880""]",[9],[1.0]
"[""person881""]",[10],[1.0]
"[""person882"", ""person882"", ""person882"", ""person882"", ""person882"", ""person882""]","[7, 9, 10, 11, 14, 15]","[0.126, 0.172, 0.16, 0.178, 0.196, 0.168]"
"[""person883""]",[10],[1.0]
"[""person884""]",[7],[1.0]
"[""person885""]",[9],[1.0]
"[""person886""]",[10],[1.0]
"[""person887""]",[5],[1.0]
"[""person888"", ""person888"", ""person888"", ""person888"", ""person888"", ""person888""]","[2, 9, 10, 11, 14, 15]","[0.202, 0.154, 0.154, 0.18, 0.17, 0.14]"
"[""person889"", ""person889"", ""person889""]","[2, 8, 9]","[0.214, 0.012, 0.774]"
"[""person890""]",[10],[1.0]
"[""person891""]",[14],[1.0]
"[""person892""]",[4],[1.0]
"[""person893""]",[16],[1.0]
"[""person894""]",[9],[1.0]
"[""person895"", ""person895""]","[8, 11]","[0.118, 0.882]"
"[""person896"", ""person896""]","[1, 12]","[0.998, 0.002]"
"[""person897""]",[10],[1.0]
"[""person898""]",[9],[1.0]
"[""person899""]",[14],[1.0]
"[""person900""]",[15],[1.0]
"[""person901""]",[2],[1.0]
"[""person902""]",[14],[1.0]
"[""person903""]",[14],[1.0]
"[""person904""]",[9],[1.0]
"[""person905""]",[9],[1.0]
"[""person906""]",[14],[1.0]
"[""person907""]",[10],[1.0]
"[""person908""]",[15],[1.0]
"[""person909""]",[7],[1.0]
"[""person910""]",[10],[1.0]
"[""person911""]",[10],[1.0]
"[""person912"", ""person912""]","[7, 9]","[0.098, 0.902]"
"[""person913""]",[15],[1.0]
"[""person914""]",[10],[1.0]
"[""person915""]",[2],[1.0]
"[""person916""]",[11],[1.0]
"[""person917""]",[11],[1.0]
"[""person918""]",[9],[1.0]
"[""person919""]",[11],[1.0]
"[""person920"", ""person920""]","[9, 12]","[0.062, 0.938]"
"[""person921""]",[9],[1.0]
"[""person922"", ""person922""]","[12, 15]","[0.002, 0.998]"
"[""person923""]",[9],[1.0]
"[""person924"", ""person924""]","[5, 16]","[0.22, 0.78]"
"[""person925"", ""person925""]","[6, 8]","[0.878, 0.122]"
"[""person926""]",[10],[1.0]
"[""person927"", ""person927""]","[4, 16]","[0.578, 0.422]"
"[""person928""]",[14],[1.0]
"[""person929"", ""person929""]","[13, 15]","[0.106, 0.894]"
"[""person930""]",[10],[1.0]
"[""person931""]",[15],[1.0]
"[""person932"", ""person932""]","[10, 12]","[0.05, 0.95]"
"[""person933""]",[14],[1.0]
"[""person934""]",[15],[1.0]
"[""person935""]",[11],[1.0]
"[""person936""]",[9],[1.0]
"[""person937"", ""person937""]","[2, 15]","[0.186, 0.814]"
"[""person938""]",[10],[1.0]
"[""person939""]",[11],[1.0]
"[""person940""]",[10],[1.0]
"[""person941""]",[14],[1.0]
"[""person942""]",[14],[1.0]
"[""person943"", ""person943""]","[5, 10]","[0.216, 0.784]"
"[""person944"", ""person944""]","[3, 16]","[0.85, 0.15]"
"[""person945""]",[9],[1.0]
"[""person946""]",[2],[1.0]
"[""person947"", ""person947""]","[4, 11]","[0.194, 0.806]"
"[""person948""]",[9],[1.0]
"[""person949""]",[15],[1.0]
"[""person950"", ""person950""]","[6, 16]","[0.258, 0.742]"
"[""person951""]",[15],[1.0]
"[""person952""]",[10],[1.0]
"[""person953"", ""person953""]","[4, 8]","[0.18, 0.82]"
"[""person954""]",[10],[1.0]
"[""person955""]",[15],[1.0]
"[""person956""]",[5],[1.0]
"[""person957"", ""person957""]","[2, 9]","[0.184, 0.816]"
"[""person958""]",[10],[1.0]
"[""person959""]",[9],[1.0]
"[""person960""]",[2],[1.0]
"[""person961""]",[7],[1.0]
"[""person962""]",[10],[1.0]
"[""person963""]",[4],[1.0]
"[""person964"", ""person964""]","[15, 16]","[0.624, 0.376]"
"[""person965""]",[14],[1.0]
"[""person966""]",[6],[1.0]
"[""person967""]",[2],[1.0]
"[""person968"", ""person968""]","[8, 15]","[0.124, 0.876]"
"[""person969""]",[14],[1.0]
"[""person970""]",[13],[1.0]
"[""person971""]",[10],[1.0]
"[""person972"", ""person972""]","[6, 9]","[0.274, 0.726]"
"[""person973""]",[11],[1.0]
"[""person974""]",[9],[1.0]
"[""person975""]",[15],[1.0]
"[""person976""]",[14],[1.0]
"[""person977""]",[14],[1.0]
"[""person978""]",[11],[1.0]
"[""person979""]",[9],[1.0]
"[""person980""]",[1],[1.0]
"[""person981""]",[11],[1.0]
"[""person982"", ""person982""]","[8, 11]","[0.136, 0.864]"
"[""person983"", ""person983"", ""person983""]","[2, 4, 7]","[0.782, 0.216, 0.002]"
"[""person984""]",[11],[1.0]
"[""person985"", ""person985""]","[11, 13]","[0.912, 0.088]"
"[""person986"", ""person986""]","[12, 15]","[0.002, 0.998]"
"[""person987""]",[14],[1.0]
"[""person988""]",[9],[1.0]
"[""person989"", ""person989""]","[4, 9]","[0.19, 0.81]"
"[""person990""]",[11],[1.0]
"[""person991"", ""person991"", ""person991""]","[4, 5, 11]","[0.062, 0.178, 0.76]"
"[""person992""]",[5],[1.0]
"[""person993""]",[14],[1.0]
"[""person994""]",[14],[1.0]
"[""person995""]",[8],[1.0]
"[""person996""]",[14],[1.0]
"[""person997""]",[15],[1.0]
"[""person998"", ""person998"", ""person998"", ""person998"", ""person998""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person999""]",[14],[1.0]
"[""person1000""]",[9],[1.0]
